Usage.BoldItalic,Usage.ClaimsClassification,Usage.Name

R,Fungi,Aspergillus niger
R,Fungi,Candida albicans
R,Fungi,Trichophyton mentagrophytes [Athlete's Foot Fungus]
R,Fungi,[a cause of Ringworm] [a cause of Ringworm of the foot]
